Title,Named-entity,Frequency
Cristiano Ronaldo,utd quarter date,1
Cristiano Ronaldo,20140903180058,1
Cristiano Ronaldo,roma ref invoke,1
Cristiano Ronaldo,803605,1
Cristiano Ronaldo,moscow,3
Cristiano Ronaldo,2301257,2
Cristiano Ronaldo,ronaldo s penalty,1
Cristiano Ronaldo,20140903142530,1
Cristiano Ronaldo,bbc archive url,7
Cristiano Ronaldo,20080526022453,1
Cristiano Ronaldo,63706,2
Cristiano Ronaldo,24 2016 archive,1
Cristiano Ronaldo,20160529135759,1
Cristiano Ronaldo,08 season,1
Cristiano Ronaldo,6996227,1
Cristiano Ronaldo,20090101201355,1
Cristiano Ronaldo,assert player,1
Cristiano Ronaldo,11667 3800594,2
Cristiano Ronaldo,20140903050221,1
Cristiano Ronaldo,date 11 july 2008,1
Cristiano Ronaldo,20140903153733,1
Cristiano Ronaldo,united title,1
Cristiano Ronaldo,20140903081007,1
Cristiano Ronaldo,09 season 7 july,1
Cristiano Ronaldo,7486670,1
Cristiano Ronaldo,20081230021935,1
Cristiano Ronaldo,10 week,1
Cristiano Ronaldo,season 2009,2
Cristiano Ronaldo,15276,2
Cristiano Ronaldo,302689,2
Cristiano Ronaldo,17 september,2
Cristiano Ronaldo,20130314061109,1
Cristiano Ronaldo,march 2013,4
Cristiano Ronaldo,100th,12
Cristiano Ronaldo,20140903153225,1
Cristiano Ronaldo,united review,1
Cristiano Ronaldo,70,1
Cristiano Ronaldo,united ref,3
Cristiano Ronaldo,cup japan,1
Cristiano Ronaldo,10390,2
Cristiano Ronaldo,20140903044341,1
Cristiano Ronaldo,liga de quito,1
Cristiano Ronaldo,world cup award,1
Cristiano Ronaldo,news bevan chris,2
Cristiano Ronaldo,7793438,2
Cristiano Ronaldo,0 1,2
Cristiano Ronaldo,20081222055023,1
Cristiano Ronaldo,ronaldo united s ballon,1
Cristiano Ronaldo,1968,1
Cristiano Ronaldo,roughley gregg,1
Cristiano Ronaldo,messi torre,1
Cristiano Ronaldo,20141006221218,1
Cristiano Ronaldo,7822115,1
Cristiano Ronaldo,20090118230528,1
